,first_name,last_name,gender,DOB,job_industry_category,wealth_segment,owns_car,state,AGE,Age_Groups
309,Aldric,Birney,Male,1971-08-19,Manufacturing,Mass Customer,Yes,NSW,49.0,Age : 41 - 60
310,Natividad,Balducci,Female,1991-02-07,Property,High Net Worth,Yes,VIC,29.0,Age : 21 - 40
311,Claudine,Dymick,Female,1965-12-13,Health,Mass Customer,No,VIC,54.0,Age : 41 - 60
312,Seamus,Cains,Male,1989-12-15,Manufacturing,High Net Worth,No,NSW,30.0,Age : 21 - 40
313,Guss,Karim,Male,1968-11-24,Manufacturing,Mass Customer,No,NSW,51.0,Age : 41 - 60
315,Roch,Symson,Female,1978-05-13,Manufacturing,High Net Worth,No,VIC,42.0,Age : 41 - 60
316,Audry,Fann,Female,1957-10-17,Health,Mass Customer,Yes,VIC,62.0,Age : 61 - 80
317,Cecelia,Cisar,Female,1985-03-26,Property,Mass Customer,Yes,QLD,35.0,Age : 21 - 40
318,Clari,Voas,Female,1955-07-28,Health,Affluent Customer,Yes,NSW,65.0,Age : 61 - 80
319,Zach,Hedman,Male,1981-09-11,Financial Services,Affluent Customer,Yes,NSW,39.0,Age : 21 - 40
321,Parnell,Lamprey,Male,1977-04-08,Financial Services,High Net Worth,No,NSW,43.0,Age : 41 - 60
322,Honey,Gosdin,Female,1981-11-29,Property,Mass Customer,No,NSW,38.0,Age : 21 - 40
323,Sonny,McCart,Male,1992-08-27,Manufacturing,High Net Worth,No,VIC,28.0,Age : 21 - 40
325,Deirdre,Burgoine,Female,1955-01-08,Health,High Net Worth,No,VIC,65.0,Age : 61 - 80
326,Haleigh,,Female,1952-05-19,Financial Services,Mass Customer,Yes,QLD,68.0,Age : 61 - 80
328,Zechariah,McReidy,Male,1978-07-22,Manufacturing,High Net Worth,No,QLD,42.0,Age : 41 - 60
329,Carry,Costi,Female,1972-11-26,Property,Mass Customer,No,NSW,47.0,Age : 41 - 60
332,Nil,Shirer,Male,1997-09-27,Entertainment,Mass Customer,Yes,VIC,22.0,Age : 21 - 40
333,Erhard,O'Moylane,Male,1978-05-27,Retail,Affluent Customer,Yes,VIC,42.0,Age : 41 - 60
334,Vitia,Axtens,Female,1945-08-08,Financial Services,Mass Customer,Yes,NSW,75.0,Age : 61 - 80
335,Haskell,Moxted,Male,1943-08-27,Manufacturing,Mass Customer,No,NSW,77.0,Age : 61 - 80
336,Ebony,Conrad,Female,1999-10-24,Financial Services,Mass Customer,Yes,VIC,20.0,Age : 0 - 20
338,Vladimir,Westmerland,Male,1956-06-19,Manufacturing,Mass Customer,Yes,NSW,64.0,Age : 61 - 80
340,Nicole,Ruckhard,Female,1969-10-09,Health,Affluent Customer,Yes,QLD,50.0,Age : 41 - 60
341,Celestina,Lethardy,Female,1968-12-11,IT,Mass Customer,Yes,VIC,51.0,Age : 41 - 60
342,Tannie,Petrakov,Male,1951-11-27,IT,Affluent Customer,No,QLD,68.0,Age : 61 - 80
343,Bessy,Saladin,Female,1939-12-22,Manufacturing,Mass Customer,Yes,QLD,80.0,Age : 61 - 80
344,Diego,Van den Broek,Male,1964-09-28,Manufacturing,Affluent Customer,Yes,QLD,55.0,Age : 41 - 60
345,Lucilia,Minshall,Female,1952-04-15,IT,Mass Customer,Yes,NSW,68.0,Age : 61 - 80
346,Cissiee,Pollington,Female,1941-07-21,Property,Mass Customer,Yes,NSW,79.0,Age : 61 - 80
347,Eddy,Sturch,Male,1961-02-11,Financial Services,High Net Worth,Yes,QLD,59.0,Age : 41 - 60
348,Caron,Kezar,Female,1953-08-08,Health,Mass Customer,No,NSW,67.0,Age : 61 - 80
349,Sandor,Stirland,Male,1981-05-26,Manufacturing,High Net Worth,No,VIC,39.0,Age : 21 - 40
351,Murial,Bulloch,Female,1964-10-01,Financial Services,Mass Customer,No,NSW,55.0,Age : 41 - 60
352,Delinda,Ech,Female,1944-10-21,Argiculture,Mass Customer,Yes,VIC,75.0,Age : 61 - 80
353,Hussein,Tapenden,Male,1953-10-19,Health,Affluent Customer,Yes,NSW,66.0,Age : 61 - 80
355,Kaylyn,Jakaway,Female,1980-07-30,Health,Affluent Customer,No,NSW,40.0,Age : 21 - 40
356,Brynn,Goodyear,Female,1944-11-10,Health,Mass Customer,Yes,VIC,75.0,Age : 61 - 80
357,Otis,,Male,1971-01-11,Manufacturing,Affluent Customer,No,NSW,49.0,Age : 41 - 60
359,Pace,Clemonts,Male,1990-07-28,Retail,High Net Worth,No,VIC,30.0,Age : 21 - 40
361,Muffin,Grigolon,Male,1979-10-31,Telecommunications,Mass Customer,No,NSW,40.0,Age : 21 - 40
362,Allsun,Biner,Female,1997-12-26,Financial Services,Mass Customer,Yes,NSW,22.0,Age : 21 - 40
363,Kenneth,Elleyne,Male,1957-09-03,Financial Services,Mass Customer,No,VIC,63.0,Age : 61 - 80
364,Clotilda,Southers,Female,1999-11-08,Financial Services,Mass Customer,Yes,NSW,20.0,Age : 0 - 20
365,Augustus,Bourley,Male,1981-08-17,Health,Affluent Customer,No,QLD,39.0,Age : 21 - 40
366,Daisi,Tinwell,Female,1971-12-24,Financial Services,Mass Customer,No,NSW,48.0,Age : 41 - 60
367,Gerik,Woodroof,Male,1959-06-13,Financial Services,High Net Worth,Yes,VIC,61.0,Age : 61 - 80
369,Arty,Fontelles,Male,1994-10-21,IT,High Net Worth,No,VIC,25.0,Age : 21 - 40
371,Whit,Emloch,Male,1963-08-20,Health,Mass Customer,Yes,NSW,57.0,Age : 41 - 60
372,Rowan,Summerly,Male,1974-07-05,Entertainment,Mass Customer,No,NSW,46.0,Age : 41 - 60
373,Ian,Rabat,Male,1975-08-04,Financial Services,Affluent Customer,No,VIC,45.0,Age : 41 - 60
376,Link,Gorini,Male,1974-11-09,IT,High Net Worth,No,QLD,45.0,Age : 41 - 60
377,Harriet,Brattan,Female,1986-12-03,Financial Services,High Net Worth,No,VIC,33.0,Age : 21 - 40
378,Sada,Branton,Female,1974-06-24,Manufacturing,Affluent Customer,No,VIC,46.0,Age : 41 - 60
379,Jenelle,Mc-Kerley,Female,1942-01-23,Financial Services,Mass Customer,Yes,QLD,78.0,Age : 61 - 80
380,Gabrila,Toopin,Female,1963-01-14,Manufacturing,Mass Customer,No,NSW,57.0,Age : 41 - 60
381,Almira,Mangion,Female,1996-01-24,Financial Services,Affluent Customer,Yes,NSW,24.0,Age : 21 - 40
382,Arty,Strudwick,Male,1964-01-31,Health,Mass Customer,Yes,NSW,56.0,Age : 41 - 60
383,Alexa,Dillet,Female,1944-10-05,Entertainment,Affluent Customer,No,NSW,75.0,Age : 61 - 80
384,Palmer,Heaven,Male,1995-05-18,Financial Services,Affluent Customer,Yes,VIC,25.0,Age : 21 - 40
385,Porter,Buckenhill,Male,1954-06-14,Manufacturing,High Net Worth,Yes,QLD,66.0,Age : 61 - 80
386,Kizzee,Kemston,Female,1961-09-29,Health,Mass Customer,No,NSW,58.0,Age : 41 - 60
388,Giffie,Offill,Male,1993-03-02,Telecommunications,Affluent Customer,No,QLD,27.0,Age : 21 - 40
391,Tamar,Windmill,Female,1939-08-28,Manufacturing,Affluent Customer,No,NSW,81.0,Age : 81 - 100
392,Kipp,Stockport,Male,1982-12-10,Retail,Mass Customer,Yes,NSW,37.0,Age : 21 - 40
393,Packston,Wackett,Male,1950-04-26,Financial Services,Mass Customer,No,VIC,70.0,Age : 61 - 80
394,Hanson,Eastes,Male,1990-05-20,Manufacturing,Mass Customer,Yes,VIC,30.0,Age : 21 - 40
395,Demetria,Bausor,Female,1961-12-22,Entertainment,Mass Customer,Yes,NSW,58.0,Age : 41 - 60
396,Lura,Fawdrie,Female,2002-01-17,Health,Mass Customer,Yes,QLD,18.0,Age : 0 - 20
397,Nora,Anselm,Female,1961-01-05,Entertainment,High Net Worth,Yes,QLD,59.0,Age : 41 - 60
398,Estevan,Eastment,Male,1942-08-09,Health,Mass Customer,Yes,NSW,78.0,Age : 61 - 80
399,Aloysius,Glowacz,Male,1979-03-24,Financial Services,Affluent Customer,No,NSW,41.0,Age : 41 - 60
400,Bastien,Ibbeson,Male,1976-11-04,IT,Mass Customer,No,NSW,43.0,Age : 41 - 60
401,Otha,Langworthy,Female,1967-01-20,Financial Services,Mass Customer,Yes,VIC,53.0,Age : 41 - 60
403,Dwayne,Doel,Male,1978-01-21,Financial Services,Affluent Customer,Yes,NSW,42.0,Age : 41 - 60
404,Leese,Huckleby,Female,1977-09-10,Manufacturing,High Net Worth,Yes,VIC,43.0,Age : 41 - 60
405,Dodi,Kiggel,Female,1980-08-15,Financial Services,Mass Customer,Yes,NSW,40.0,Age : 21 - 40
406,Kippar,Brimilcome,Male,1938-11-29,Health,Mass Customer,No,NSW,81.0,Age : 81 - 100
407,Corinna,Beretta,Female,1996-02-29,Health,High Net Worth,No,VIC,24.0,Age : 21 - 40
408,Laurie,Odlin,Female,1983-03-08,Health,High Net Worth,No,VIC,37.0,Age : 21 - 40
411,Tanner,Terlinden,Male,1995-12-09,Manufacturing,Mass Customer,No,VIC,24.0,Age : 21 - 40
412,Hilliard,Dullard,Male,1954-07-18,Manufacturing,Mass Customer,No,NSW,66.0,Age : 61 - 80
413,Justinn,Haruard,Female,1958-08-28,Health,High Net Worth,No,NSW,62.0,Age : 61 - 80
414,Wyn,Meach,Male,1938-09-10,Manufacturing,Mass Customer,No,NSW,82.0,Age : 81 - 100
415,Art,Shardlow,Male,1963-10-15,Argiculture,Mass Customer,Yes,QLD,56.0,Age : 41 - 60
416,Dennis,Varnham,Male,1953-05-17,Entertainment,Affluent Customer,No,VIC,67.0,Age : 61 - 80
417,Freddi,Litherborough,Female,1989-01-14,Financial Services,Mass Customer,No,NSW,31.0,Age : 21 - 40
418,Salomon,Perkins,Male,1998-01-12,Financial Services,Affluent Customer,Yes,NSW,22.0,Age : 21 - 40
419,Sherill,,Female,1991-12-18,Financial Services,Mass Customer,No,NSW,28.0,Age : 21 - 40
420,Queenie,Learie,Female,1948-01-24,Property,Mass Customer,No,NSW,72.0,Age : 61 - 80
421,Etan,Prinett,Male,1970-01-21,Argiculture,Mass Customer,Yes,NSW,50.0,Age : 41 - 60
422,Donaugh,Benedict,Male,1991-12-01,Property,Mass Customer,No,NSW,28.0,Age : 21 - 40
423,Harwell,Kleinstein,Male,1993-10-18,Retail,Affluent Customer,No,VIC,26.0,Age : 21 - 40
424,Cheston,Hritzko,Male,1945-11-08,Manufacturing,Mass Customer,Yes,NSW,74.0,Age : 61 - 80
425,Suzy,Trounson,Female,1947-07-19,Financial Services,Mass Customer,Yes,QLD,73.0,Age : 61 - 80
427,Guenna,Filisov,Female,1969-02-09,Manufacturing,High Net Worth,No,NSW,51.0,Age : 41 - 60
428,Opal,Cleare,Female,1977-09-26,Property,Affluent Customer,Yes,NSW,42.0,Age : 41 - 60
430,Kipper,Circuit,Male,1974-12-12,Argiculture,Mass Customer,Yes,NSW,45.0,Age : 41 - 60
431,Marilin,Frome,Female,1975-12-22,IT,Mass Customer,Yes,NSW,44.0,Age : 41 - 60
432,Arel,Abramovitz,Male,1957-11-12,Health,Mass Customer,No,QLD,62.0,Age : 61 - 80
433,Kit,Easdon,Male,1978-10-26,Property,Affluent Customer,No,VIC,41.0,Age : 41 - 60
435,Skipp,Swales,Male,1973-11-14,Entertainment,High Net Worth,Yes,VIC,46.0,Age : 41 - 60
436,Frederich,Glantz,Male,1997-08-27,Manufacturing,High Net Worth,Yes,NSW,23.0,Age : 21 - 40
437,Rodolph,Denniss,Male,1974-08-07,Property,Affluent Customer,Yes,VIC,46.0,Age : 41 - 60
438,Craggie,Dering,Male,1952-10-05,Financial Services,Mass Customer,No,NSW,67.0,Age : 61 - 80
440,Giralda,MacPeake,Female,1941-04-04,Entertainment,High Net Worth,Yes,NSW,79.0,Age : 61 - 80
441,Rodney,Trethewey,Male,1997-03-17,Financial Services,Affluent Customer,No,VIC,23.0,Age : 21 - 40
442,Theresina,,Female,1987-03-01,Argiculture,Mass Customer,Yes,NSW,33.0,Age : 21 - 40
443,Gleda,Howerd,Female,1964-01-22,IT,Mass Customer,No,NSW,56.0,Age : 41 - 60
444,Melany,Ladewig,Female,1972-05-17,Financial Services,Mass Customer,Yes,QLD,48.0,Age : 41 - 60
445,Claudell,Rounsefell,Male,1993-11-27,Financial Services,Affluent Customer,No,QLD,26.0,Age : 21 - 40
446,Garwin,Nurden,Male,1958-04-19,Property,High Net Worth,Yes,VIC,62.0,Age : 61 - 80
447,Bunny,Leebetter,Female,1966-04-30,Manufacturing,High Net Worth,Yes,QLD,54.0,Age : 41 - 60
448,Matias,Melloi,Male,1977-02-03,Retail,Affluent Customer,No,NSW,43.0,Age : 41 - 60
450,Anet,Roseman,Female,1996-11-24,Financial Services,Mass Customer,No,VIC,23.0,Age : 21 - 40
451,Katie,Warhurst,Female,1991-12-02,Retail,High Net Worth,Yes,VIC,28.0,Age : 21 - 40
452,Celia,Bryden,Female,1943-04-06,Manufacturing,High Net Worth,No,NSW,77.0,Age : 61 - 80
453,Stearne,Trolley,Male,1982-02-01,Financial Services,High Net Worth,No,NSW,38.0,Age : 21 - 40
454,Tristam,Larose,Male,1985-01-29,Financial Services,Mass Customer,No,NSW,35.0,Age : 21 - 40
456,Heloise,Fairpool,Female,1976-09-07,Manufacturing,High Net Worth,No,QLD,44.0,Age : 41 - 60
458,Marcellina,Baynton,Female,1947-03-11,Financial Services,Mass Customer,No,VIC,73.0,Age : 61 - 80
459,Gregorius,Leal,Male,1951-04-29,Retail,Affluent Customer,Yes,NSW,69.0,Age : 61 - 80
460,Deana,Canton,Female,1974-11-25,Property,Mass Customer,Yes,QLD,45.0,Age : 41 - 60
462,Lucky,Klainman,Female,1947-11-26,Retail,Mass Customer,No,VIC,72.0,Age : 61 - 80
463,Erasmus,Olenchenko,Male,1965-02-03,Property,Mass Customer,Yes,NSW,55.0,Age : 41 - 60
464,Carita,Sand,Female,1977-03-20,Retail,Mass Customer,No,NSW,43.0,Age : 41 - 60
465,Lynnett,Tipper,Female,1993-08-03,Health,High Net Worth,Yes,VIC,27.0,Age : 21 - 40
466,Thorn,Stigers,Male,1972-05-19,Financial Services,Mass Customer,No,QLD,48.0,Age : 41 - 60
468,Norah,Mapis,Female,2000-12-09,Argiculture,Mass Customer,No,NSW,19.0,Age : 0 - 20
469,Moina,Rosenbaum,Female,2001-08-04,IT,Mass Customer,No,VIC,19.0,Age : 0 - 20
470,Ceciley,Harg,Female,1990-10-19,Retail,Mass Customer,Yes,QLD,29.0,Age : 21 - 40
471,Torry,de la Valette Parisot,Male,1967-03-14,Telecommunications,Mass Customer,Yes,VIC,53.0,Age : 41 - 60
472,Sigismund,Sedger,Male,1999-11-29,Manufacturing,Affluent Customer,No,NSW,20.0,Age : 0 - 20
473,Irvine,Headon,Male,1956-04-21,IT,Affluent Customer,Yes,NSW,64.0,Age : 61 - 80
474,Laurie,,Male,1979-07-28,Entertainment,Mass Customer,Yes,NSW,41.0,Age : 41 - 60
475,Tomkin,Bernlin,Male,2001-12-29,Health,Affluent Customer,Yes,NSW,18.0,Age : 0 - 20
476,Genni,Fanstone,Female,1972-07-29,Entertainment,Mass Customer,No,VIC,48.0,Age : 41 - 60
477,Blondie,,Female,1995-10-03,Financial Services,High Net Worth,No,NSW,24.0,Age : 21 - 40
479,Carola,Philler,Female,1951-04-30,Health,High Net Worth,No,NSW,69.0,Age : 61 - 80
480,Fitzgerald,Hellikes,Male,1979-07-28,Health,Mass Customer,Yes,VIC,41.0,Age : 41 - 60
481,Ingmar,Okenden,Male,1959-03-01,Financial Services,Mass Customer,Yes,VIC,61.0,Age : 61 - 80
482,Tina,Dunstan,Female,1939-03-06,Retail,Affluent Customer,No,NSW,81.0,Age : 81 - 100
484,Georgi,,Male,1970-01-14,Manufacturing,High Net Worth,No,VIC,50.0,Age : 41 - 60
485,Adolpho,Bellerby,Male,1944-10-25,Financial Services,High Net Worth,Yes,QLD,75.0,Age : 61 - 80
486,Kelsey,Hatt,Female,1966-06-27,Financial Services,High Net Worth,No,VIC,54.0,Age : 41 - 60
487,Lucien,,Male,1966-09-14,Financial Services,High Net Worth,Yes,QLD,54.0,Age : 41 - 60
490,Alexina,Mabley,Female,1975-10-12,Manufacturing,Mass Customer,Yes,NSW,44.0,Age : 41 - 60
491,Dawn,Pyffe,Female,1965-05-28,Retail,Mass Customer,No,VIC,55.0,Age : 41 - 60
492,Claudette,Renackowna,Female,1996-02-11,Manufacturing,Mass Customer,No,NSW,24.0,Age : 21 - 40
494,Park,,Male,1977-11-08,IT,Affluent Customer,No,QLD,42.0,Age : 41 - 60
495,Anthony,Lindstrom,Male,1997-11-01,Financial Services,Affluent Customer,Yes,NSW,22.0,Age : 21 - 40
496,Liane,Poizer,Female,1952-05-05,Property,High Net Worth,No,NSW,68.0,Age : 61 - 80
499,Renell,Earley,Female,1954-10-21,Financial Services,Mass Customer,Yes,QLD,65.0,Age : 61 - 80
500,Cliff,Philipsson,Male,1967-02-02,Argiculture,Mass Customer,No,VIC,53.0,Age : 41 - 60
502,Cariotta,,Female,1974-08-19,Entertainment,Affluent Customer,Yes,NSW,46.0,Age : 41 - 60
503,George,Jose,Male,1960-12-19,Retail,High Net Worth,Yes,QLD,59.0,Age : 41 - 60
508,Katleen,Arnoult,Female,1976-11-24,Manufacturing,Mass Customer,Yes,NSW,43.0,Age : 41 - 60
510,Inglebert,Aspinal,Male,1973-10-13,Financial Services,Mass Customer,No,NSW,46.0,Age : 41 - 60
511,Jammal,Devenny,Male,1999-05-14,Retail,High Net Worth,No,VIC,21.0,Age : 21 - 40
512,Adriane,Richardson,Female,1976-03-10,Manufacturing,High Net Worth,No,VIC,44.0,Age : 41 - 60
513,Jodi,Lermit,Female,1954-01-30,Health,Mass Customer,Yes,QLD,66.0,Age : 61 - 80
514,Emelia,Ackwood,Female,1988-09-30,Financial Services,Mass Customer,Yes,QLD,31.0,Age : 21 - 40
515,Andee,Huke,Female,1971-06-28,Manufacturing,Mass Customer,No,VIC,49.0,Age : 41 - 60
517,Zabrina,Margram,Female,1964-05-15,Manufacturing,High Net Worth,Yes,QLD,56.0,Age : 41 - 60
518,Maddalena,Angood,Female,1999-07-28,Manufacturing,Affluent Customer,No,NSW,21.0,Age : 21 - 40
519,Sofie,Worsfold,Female,1954-10-06,Retail,Mass Customer,Yes,QLD,65.0,Age : 61 - 80
520,Elmira,Vasilyev,Female,1951-10-14,Manufacturing,High Net Worth,No,NSW,68.0,Age : 61 - 80
522,Worthington,Cohane,Male,1991-01-23,Entertainment,High Net Worth,No,NSW,29.0,Age : 21 - 40
523,Bailey,Bereford,Male,1950-09-30,Argiculture,Affluent Customer,Yes,NSW,69.0,Age : 61 - 80
524,Perry,Whitehurst,Male,1980-05-29,Manufacturing,High Net Worth,Yes,VIC,40.0,Age : 21 - 40
525,Antony,Tuma,Male,1954-03-10,Telecommunications,High Net Worth,Yes,VIC,66.0,Age : 61 - 80
526,Corene,Hallgate,Female,1964-11-06,Financial Services,Mass Customer,Yes,VIC,55.0,Age : 41 - 60
527,Nico,Chadwick,Male,1953-05-24,Financial Services,Affluent Customer,No,VIC,67.0,Age : 61 - 80
529,Ivy,Farr,Female,1973-07-03,IT,High Net Worth,No,NSW,47.0,Age : 41 - 60
531,Amabel,,Female,1981-09-14,Financial Services,Mass Customer,Yes,NSW,39.0,Age : 21 - 40
532,Hilario,McCulloch,Male,1986-01-10,Retail,Mass Customer,No,VIC,34.0,Age : 21 - 40
533,Jim,Haddrell,Male,1955-04-08,Financial Services,Mass Customer,No,NSW,65.0,Age : 61 - 80
534,Jacobo,Mucklow,Male,1952-12-04,Financial Services,High Net Worth,Yes,VIC,67.0,Age : 61 - 80
535,Gretel,Paschke,Female,1956-05-29,Financial Services,Mass Customer,Yes,QLD,64.0,Age : 61 - 80
536,Jethro,Mertel,Male,1978-12-10,Argiculture,Mass Customer,Yes,NSW,41.0,Age : 41 - 60
537,Dwain,Hatch,Male,1994-11-16,Health,Affluent Customer,No,VIC,25.0,Age : 21 - 40
538,Lucretia,D'Agostini,Female,1978-12-14,Manufacturing,High Net Worth,No,VIC,41.0,Age : 41 - 60
539,Claude,Bowstead,Female,1997-11-29,Manufacturing,Mass Customer,No,NSW,22.0,Age : 21 - 40
540,Donn,MacGregor,Male,1965-04-22,Manufacturing,High Net Worth,No,NSW,55.0,Age : 41 - 60
541,Laurel,Devennie,Female,1976-09-25,Manufacturing,Affluent Customer,No,QLD,43.0,Age : 41 - 60
542,Elvira,Darthe,Female,1975-04-08,Financial Services,Affluent Customer,No,NSW,45.0,Age : 41 - 60
543,Angie,Tansley,Male,1950-11-30,Manufacturing,Mass Customer,No,NSW,69.0,Age : 61 - 80
544,Terrence,Dalligan,Male,1998-02-19,Manufacturing,High Net Worth,Yes,VIC,22.0,Age : 21 - 40
545,Katy,Crooke,Female,1977-06-30,Health,Mass Customer,No,NSW,43.0,Age : 41 - 60
546,Sammy,Borsi,Female,1972-04-27,Financial Services,Mass Customer,No,NSW,48.0,Age : 41 - 60
547,Morganica,Ainsbury,Female,1973-01-06,Entertainment,High Net Worth,Yes,NSW,47.0,Age : 41 - 60
548,Nils,Champion,Male,1984-07-06,Retail,Affluent Customer,No,NSW,36.0,Age : 21 - 40
549,Beverlee,Querree,Female,1991-04-21,Financial Services,High Net Worth,Yes,NSW,29.0,Age : 21 - 40
550,Cami,Eitter,Female,1979-01-03,Manufacturing,High Net Worth,Yes,VIC,41.0,Age : 41 - 60
551,Reiko,Degenhardt,Female,1976-01-16,Financial Services,High Net Worth,Yes,QLD,44.0,Age : 41 - 60
552,Cord,Dunsmore,Male,1999-04-21,Manufacturing,Mass Customer,Yes,QLD,21.0,Age : 21 - 40
553,Gabey,Kennicott,Female,1958-05-14,Financial Services,Affluent Customer,No,NSW,62.0,Age : 61 - 80
554,Jacqui,Devey,Female,1995-10-01,Financial Services,High Net Worth,Yes,NSW,24.0,Age : 21 - 40
555,Byrom,Ramas,Male,1993-11-02,Manufacturing,High Net Worth,No,NSW,26.0,Age : 21 - 40
556,Worthington,Ahmed,Male,1972-03-24,Financial Services,High Net Worth,No,VIC,48.0,Age : 41 - 60
557,Chico,Dye,Male,1994-02-04,Manufacturing,High Net Worth,No,NSW,26.0,Age : 21 - 40
558,Davidde,Cockroft,Male,1947-04-21,Manufacturing,High Net Worth,No,NSW,73.0,Age : 61 - 80
559,Charlie,Dmych,Male,1950-03-31,Manufacturing,High Net Worth,No,NSW,70.0,Age : 61 - 80
561,Kamila,Parsonage,Female,1954-03-08,Property,Mass Customer,No,QLD,66.0,Age : 61 - 80
562,Barth,Sapshed,Male,1994-06-16,Financial Services,Mass Customer,Yes,QLD,26.0,Age : 21 - 40
563,Padriac,Collacombe,Male,1967-04-07,Health,Affluent Customer,No,NSW,53.0,Age : 41 - 60
564,Olive,Mozzi,Female,1955-07-06,Retail,Affluent Customer,Yes,NSW,65.0,Age : 61 - 80
565,Benedict,Rosas,Male,1955-11-25,Financial Services,High Net Worth,Yes,NSW,64.0,Age : 61 - 80
566,Virginia,De Antoni,Female,1964-03-14,Telecommunications,High Net Worth,Yes,NSW,56.0,Age : 41 - 60
568,Oswald,MacCarlich,Male,1991-11-24,Entertainment,Mass Customer,No,QLD,28.0,Age : 21 - 40
569,Ailyn,Howgate,Female,2001-09-27,Manufacturing,Mass Customer,Yes,QLD,18.0,Age : 0 - 20
570,Karol,Salthouse,Female,1968-07-29,Financial Services,Mass Customer,Yes,NSW,52.0,Age : 41 - 60
571,Esdras,Birchett,Male,1950-12-09,Entertainment,Mass Customer,Yes,NSW,69.0,Age : 61 - 80
572,Wilfrid,Gertray,Male,1942-08-23,Financial Services,Mass Customer,No,NSW,78.0,Age : 61 - 80
573,Charmain,Styles,Female,1965-02-25,Property,High Net Worth,Yes,VIC,55.0,Age : 41 - 60
576,Bobby,Summersby,Male,1943-10-27,Financial Services,Affluent Customer,No,VIC,76.0,Age : 61 - 80
577,Shepherd,Dutchburn,Male,1976-08-12,Financial Services,High Net Worth,Yes,NSW,44.0,Age : 41 - 60
578,Berenice,Kaesmakers,Female,1994-10-15,Retail,Mass Customer,No,NSW,25.0,Age : 21 - 40
580,Cordi,Thornton,Female,1973-01-04,Telecommunications,Mass Customer,No,NSW,47.0,Age : 41 - 60
581,Debbie,Tillman,Female,1990-07-06,Manufacturing,High Net Worth,Yes,QLD,30.0,Age : 21 - 40
583,Flin,Yoskowitz,Male,1995-12-17,Health,Mass Customer,Yes,NSW,24.0,Age : 21 - 40
584,Noel,Sturch,Female,1951-10-28,Health,Mass Customer,No,VIC,68.0,Age : 61 - 80
585,Letizia,Poore,Female,1938-08-30,Manufacturing,Affluent Customer,No,VIC,82.0,Age : 81 - 100
586,Raynard,,Male,1996-04-13,Health,Affluent Customer,No,QLD,24.0,Age : 21 - 40
587,Kiley,Grunder,Male,1994-04-17,Financial Services,Affluent Customer,Yes,QLD,26.0,Age : 21 - 40
588,Ethelred,Sissel,Male,1974-12-25,Health,High Net Worth,No,NSW,45.0,Age : 41 - 60
589,Dena,Pabst,Female,1987-04-20,Manufacturing,High Net Worth,Yes,VIC,33.0,Age : 21 - 40
590,Wyndham,Woolford,Male,1979-10-22,Manufacturing,Mass Customer,No,VIC,40.0,Age : 21 - 40
591,Rochette,Haddacks,Female,1996-05-10,Retail,Affluent Customer,Yes,VIC,24.0,Age : 21 - 40
592,Jamal,Dudgeon,Male,1965-02-09,Financial Services,Mass Customer,No,VIC,55.0,Age : 41 - 60
593,Levin,Coxen,Male,1955-10-22,Property,Mass Customer,No,NSW,64.0,Age : 61 - 80
594,Marinna,Kauschke,Female,1973-03-15,Financial Services,Affluent Customer,Yes,VIC,47.0,Age : 41 - 60
597,Gilbert,O'Fallone,Male,1994-11-07,Entertainment,High Net Worth,No,NSW,25.0,Age : 21 - 40
600,Chaim,Kingdon,Male,1996-01-21,Financial Services,Affluent Customer,Yes,NSW,24.0,Age : 21 - 40
601,Anson,Dearnaly,Male,1997-06-29,Health,Affluent Customer,Yes,NSW,23.0,Age : 21 - 40
602,Caitrin,Critten,Female,1973-01-29,Manufacturing,Mass Customer,Yes,QLD,47.0,Age : 41 - 60
604,Rozamond,Sommer,Female,1966-09-19,IT,Affluent Customer,Yes,VIC,54.0,Age : 41 - 60
606,Maximilian,Geffen,Male,1955-07-13,Manufacturing,Mass Customer,Yes,NSW,65.0,Age : 61 - 80
607,Ajay,Worham,Female,1979-09-30,Manufacturing,Mass Customer,Yes,NSW,40.0,Age : 21 - 40
608,Jamison,Cashin,Male,1970-05-19,Health,Mass Customer,Yes,NSW,50.0,Age : 41 - 60
609,Dorian,Emery,Female,1998-08-24,Manufacturing,Mass Customer,Yes,NSW,22.0,Age : 21 - 40
610,Nicol,Swinford,Male,1976-12-07,Property,High Net Worth,No,QLD,43.0,Age : 41 - 60
611,Agna,Cowpe,Female,1969-03-05,Property,Mass Customer,Yes,QLD,51.0,Age : 41 - 60
612,Nev,Prosh,Male,1950-05-08,Health,Affluent Customer,Yes,NSW,70.0,Age : 61 - 80
613,Lucius,Hatchell,Male,1951-03-19,Retail,Mass Customer,Yes,VIC,69.0,Age : 61 - 80
614,Francisca,Pottage,Female,1957-06-10,IT,Mass Customer,No,NSW,63.0,Age : 61 - 80
615,Farlie,Brookz,Male,1963-07-31,Health,Mass Customer,Yes,NSW,57.0,Age : 41 - 60
616,Mariette,,Female,1956-07-05,Property,Affluent Customer,Yes,NSW,64.0,Age : 61 - 80
617,Beverlee,Ungerechts,Female,1973-10-03,Manufacturing,Mass Customer,No,QLD,46.0,Age : 41 - 60
618,Nanni,Girodias,Female,1959-01-08,Retail,High Net Worth,No,NSW,61.0,Age : 61 - 80
619,Delcina,Hursey,Female,1968-12-26,Financial Services,Mass Customer,Yes,QLD,51.0,Age : 41 - 60
